,X.1,X,Submission.ID,Common.Name,Scientific.Name,Taxonomic.Order,Count,State.Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration..Min.,All.Obs.Reported,Distance.Traveled..km.,Area.Covered..ha.,Number.of.Observers,Breeding.Code,Species.Comments,Checklist.Comments
1,1,1,S13707154,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Aransas,Goose Island SP (CTC 048),28.13255,-96.98505,04-10-2013,04:38 PM,eBird - Traveling Count,150,1,2.414,NA,1,,,Submitted from  BirdLog for Android v1.6
2,2,2,S15605514,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,1,US-TX,Cameron,Brownsville--Oliveira Park,25.9374284,-97.52159,11-07-2013,06:00 PM,eBird - Traveling Count,45,1,0.805,NA,3,,,
3,3,3,S14066733,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Cameron,Camino/Harvey,26.1431299,-97.6298761,05-10-2013,06:30 PM,eBird - Stationary Count,60,1,NA,NA,2,,,
4,4,4,S14066509,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,1,US-TX,Cameron,South Padre Is.--Birding and Nature Center,26.1374859,-97.1735573,05-10-2013,09:30 AM,eBird - Traveling Count,90,1,1.609,NA,1,,,"<br />Submitted from BirdLog NA for iOS, version 1.5.3"
5,5,5,S13573271,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Chambers,Anahuac NWR (UTC 049),29.6148414,-94.5344353,03-30-2013,01:29 PM,eBird - Traveling Count,162,1,8.047,NA,1,,,Submitted from  BirdLog for Android v1.6
6,6,6,S13741101,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Colorado,Attwater Prairie Chicken NWR (CTC 004),29.66076,-96.28487,04-14-2013,07:45 AM,eBird - Traveling Count,154,1,9.656,NA,1,,,Submitted from  BirdLog for Android v1.6
7,7,7,S13741067,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Colorado,Attwater Prairie Chicken NWR (CTC 004),29.66076,-96.28487,04-14-2013,07:45 AM,eBird - Traveling Count,150,1,9.656,NA,1,,,Submitted from  BirdLog for Android v1.6
8,8,8,S13639614,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,25,US-TX,Comal,"Bulverde, 11300-11348 Highway 46",29.78091,-98.31835,04-05-2013,01:11 PM,eBird - Stationary Count,15,1,NA,NA,1,,,Submitted from  BirdLog for Android v1.6
9,9,9,S13729111,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Galveston,Bolivar--Horseshoe Marsh / Callery Trail,29.393289,-94.7382402,04-13-2013,11:00 AM,eBird - Traveling Count,60,1,0.805,NA,1,,,Submitted from  BirdLog for Android v1.6
10,10,10,S13735535,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Galveston,Galveston- Lafitte's Cove (UTC 068),29.21787,-94.9343,04-13-2013,01:20 PM,eBird - Traveling Count,350,1,3.219,NA,1,,,Submitted from  BirdLog for Android v1.6
11,11,11,S14080819,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Hidalgo,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),26.1720181,-98.3829036,05-11-2013,12:15 PM,eBird - Traveling Count,120,1,6.437,NA,2,,,
12,12,12,S12187876,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,7,US-TX,Hidalgo,Santa Ana NWR (LTC 059),26.0724245,-98.1499547,11-29-2012,09:00 AM,eBird - Traveling Count,210,1,4.023,NA,1,,,
13,13,13,S15625481,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Hidalgo,Santa Ana NWR--Pintail Lakes Trail,26.0787993,-98.1330503,11-09-2013,10:00 AM,eBird - Traveling Count,120,1,4.828,NA,3,,,
14,14,14,S13570846,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-MS,Jackson,"Pascagoula, 3000-3432 Beach Boulevard",30.34289,-88.52992,03-28-2013,09:59 PM,eBird - Casual Observation,0,1,NA,NA,1,,,Submitted from  BirdLog for Android v1.6
15,15,15,S14019048,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Kendall,Cibolo Nature Ctr. (HOTE 078),29.78129,-98.70963,05-06-2013,03:53 PM,eBird - Traveling Count,235,1,2.414,NA,1,,,Submitted from  BirdLog NA for Android v1.7
