Submission.ID,Common.Name,Scientific.Name,Taxonomic.Order,Count,State.Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration..Min.,All.Obs.Reported,Distance.Traveled..km.,Area.Covered..ha.,Number.of.Observers,Breeding.Code,Species.Comments,Checklist.Comments
S13707154,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Aransas,Goose Island SP (CTC 048),28.13255,-96.98505,4/10/2013,4:38 PM,eBird - Traveling Count,150,1,2.414,NA,1,NA,NA,Submitted from  BirdLog for Android v1.6
S15605514,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,1,US-TX,Cameron,Brownsville--Oliveira Park,25.9374284,-97.52159,11/7/2013,6:00 PM,eBird - Traveling Count,45,1,0.805,NA,3,NA,NA,NA
S14066733,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Cameron,Camino/Harvey,26.1431299,-97.6298761,5/10/2013,6:30 PM,eBird - Stationary Count,60,1,NA,NA,2,NA,NA,NA
S14066509,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,1,US-TX,Cameron,South Padre Is.--Birding and Nature Center,26.1374859,-97.1735573,5/10/2013,9:30 AM,eBird - Traveling Count,90,1,1.609,NA,1,NA,NA,"<br />Submitted from BirdLog NA for iOS, version 1.5.3"
S13573271,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Chambers,Anahuac NWR (UTC 049),29.6148414,-94.5344353,3/30/2013,1:29 PM,eBird - Traveling Count,162,1,8.047,NA,1,NA,NA,Submitted from  BirdLog for Android v1.6
S13741101,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Colorado,Attwater Prairie Chicken NWR (CTC 004),29.66076,-96.28487,4/14/2013,7:45 AM,eBird - Traveling Count,154,1,9.656,NA,1,NA,NA,Submitted from  BirdLog for Android v1.6
S13741067,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Colorado,Attwater Prairie Chicken NWR (CTC 004),29.66076,-96.28487,4/14/2013,7:45 AM,eBird - Traveling Count,150,1,9.656,NA,1,NA,NA,Submitted from  BirdLog for Android v1.6
S13639614,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,25,US-TX,Comal,"Bulverde, 11300-11348 Highway 46",29.78091,-98.31835,4/5/2013,1:11 PM,eBird - Stationary Count,15,1,NA,NA,1,NA,NA,Submitted from  BirdLog for Android v1.6
S13729111,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Galveston,Bolivar--Horseshoe Marsh / Callery Trail,29.393289,-94.7382402,4/13/2013,11:00 AM,eBird - Traveling Count,60,1,0.805,NA,1,NA,NA,Submitted from  BirdLog for Android v1.6
S13735535,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Galveston,Galveston- Lafitte's Cove (UTC 068),29.21787,-94.9343,4/13/2013,1:20 PM,eBird - Traveling Count,350,1,3.219,NA,1,NA,NA,Submitted from  BirdLog for Android v1.6
S14080819,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Hidalgo,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),26.1720181,-98.3829036,5/11/2013,12:15 PM,eBird - Traveling Count,120,1,6.437,NA,2,NA,NA,NA
S12187876,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,7,US-TX,Hidalgo,Santa Ana NWR (LTC 059),26.0724245,-98.1499547,11/29/2012,9:00 AM,eBird - Traveling Count,210,1,4.023,NA,1,NA,NA,NA
S15625481,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Hidalgo,Santa Ana NWR--Pintail Lakes Trail,26.0787993,-98.1330503,11/9/2013,10:00 AM,eBird - Traveling Count,120,1,4.828,NA,3,NA,NA,NA
S13570846,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-MS,Jackson,"Pascagoula, 3000-3432 Beach Boulevard",30.34289,-88.52992,3/28/2013,9:59 PM,eBird - Casual Observation,0,1,NA,NA,1,NA,NA,Submitted from  BirdLog for Android v1.6
S14019048,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Kendall,Cibolo Nature Ctr. (HOTE 078),29.78129,-98.70963,5/6/2013,3:53 PM,eBird - Traveling Count,235,1,2.414,NA,1,NA,NA,Submitted from  BirdLog NA for Android v1.7
S21196669,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,40,US-TX,Nueces,Port Aransas- Leonabelle Turnbull Birding Ctr. (CTC 057),27.8270173,-97.0782208,1/4/2015,3:00 PM,eBird - Traveling Count,40,1,1.609,NA,2,NA,NA,NA
S13497473,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,70,US-LA,Orleans,Audubon Park,29.9272668,-90.1280594,3/23/2013,2:41 PM,eBird - Traveling Count,61,1,1.609,NA,1,NA,NA," <br />Submitted from BirdLog NA for iOS, version 1.5.2"
S13021238,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-LA,Orleans,"Audubon, Golf Club Drive",29.92695,-90.12754,2/17/2013,2:03 PM,eBird - Traveling Count,47,1,1.609,NA,1,NA,NA, Submitted from  BirdLog for Android v1.6
S22517837,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,1,US-FL,Palm Beach,Stormwater Treatment Area 2,26.4366081,-80.6126118,3/25/2015,12:49 PM,eBird - Traveling Count,327,1,19.312,NA,1,NA,NA,Submitted from  BirdLog NA for Android v1.9.6
S13497474,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,3,US-LA,Plaquemines,Caernarvon Diversion Canal,29.8582786,-89.9109936,3/23/2013,5:04 PM,eBird - Traveling Count,136,1,3.219,NA,1,NA,NA,"<br />Submitted from BirdLog NA for iOS, version 1.5.2"
S11786281,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,Travis,Travis,30.32913,-97.77289,3/1/2009,NA,eBird - Casual Observation,0,0,NA,NA,1,NA,NA,Austin
S14080926,Black-bellied Whistling-Duck,Dendrocygna autumnalis,215,X,US-TX,NA,Texas,31.16954,-100.07837,5/11/2013,5:00 PM,eBird - Traveling Count,240,0,402.336,NA,2,NA,NA,NA
S13573271,Fulvous Whistling-Duck,Dendrocygna bicolor,217,X,US-TX,Chambers,Anahuac NWR (UTC 049),29.6148414,-94.5344353,3/30/2013,1:29 PM,eBird - Traveling Count,162,1,8.047,NA,1,NA,NA,Submitted from  BirdLog for Android v1.6
S13717794,Fulvous Whistling-Duck,Dendrocygna bicolor,217,X,US-TX,Chambers,Anahuac NWR--Skillern Tract (E.Bay)(UTC 050),29.6643945,-94.4222546,4/12/2013,9:30 AM,eBird - Traveling Count,41,1,3.219,NA,1,NA,NA,Submitted from  BirdLog for Android v1.6
S15625482,Fulvous Whistling-Duck,Dendrocygna bicolor,217,X,US-TX,Hidalgo,Estero Llano Grande SP WBC (LTC 054),26.1260304,-97.9559173,11/9/2013,12:30 PM,eBird - Traveling Count,120,1,4.828,NA,3,NA,NA,NA
